Bird Name,Recording #,Title,Source,URL,Audio URL,Location,Recordist,Quality
Red-billed Oxpecker,2,Red-billed Oxpecker - call,Xeno-canto,https://www.xeno-canto.org/872958,https://xeno-canto.org/872958/download,Northern Tuli Game Reserve,Marc Anderson,A
Red-billed Oxpecker,3,Red-billed Oxpecker - call,Xeno-canto,https://www.xeno-canto.org/718397,https://xeno-canto.org/718397/download,"Makana Local Municipality (near  Fort Brown), Western District, Eastern Cape",Lynette Rudman,A
Superb Starling,1,Superb Starling - call,Xeno-canto,https://www.xeno-canto.org/948237,https://xeno-canto.org/948237/download,Samburu National Park,Peter Boesman,A
Superb Starling,2,Superb Starling - call,Xeno-canto,https://www.xeno-canto.org/603758,https://xeno-canto.org/603758/download,"Mandegee farm, oloitoktok",isaac kilusu,A
Superb Starling,3,"Superb Starling - alarm call, song",Xeno-canto,https://www.xeno-canto.org/602928,https://xeno-canto.org/602928/download,"Mandegee farm, oloitoktok",isaac kilusu,A
Fiscal Shrike,1,Fiscal Shrike song,eBird/Macaulay Library,https://ebird.org/species/fiscal-shrike,,Various,Various,High
Fiscal Shrike,2,Fiscal Shrike sounds and calls,All About Birds,https://www.allaboutbirds.org/guide/Fiscal_Shrike/sounds,,Various,Cornell Lab,High
Yellow-billed Hornbill,1,"Southern Yellow-billed Hornbill - begging call, song",Xeno-canto,https://www.xeno-canto.org/546352,https://xeno-canto.org/546352/download,Hoedspruit,Derek Solomon,no score
Yellow-billed Hornbill,2,Southern Yellow-billed Hornbill - song,Xeno-canto,https://www.xeno-canto.org/545193,https://xeno-canto.org/545193/download,Hoedspruit,Derek Solomon,no score
Yellow-billed Hornbill,3,Southern Yellow-billed Hornbill - call,Xeno-canto,https://www.xeno-canto.org/538801,https://xeno-canto.org/538801/download,Hoedspruit,Derek Solomon,no score
Red-chested Cuckoo,1,Red-chested Cuckoo - call,Xeno-canto,https://www.xeno-canto.org/1010142,https://xeno-canto.org/1010142/download,"Nyakalengija, Kasese District",Jonathan Onongo,A
Red-chested Cuckoo,2,Red-chested Cuckoo - call,Xeno-canto,https://www.xeno-canto.org/1010141,https://xeno-canto.org/1010141/download,"Nyakalengija, Kasese District",Jonathan Onongo,A
Red-chested Cuckoo,3,Red-chested Cuckoo - ,Xeno-canto,https://www.xeno-canto.org/1003573,https://xeno-canto.org/1003573/download,"Kruger Park (near  Skukuza), Ehlanzeni District Municipality, Mpumalanga",African Bioacoustics Community,A
Siberian Rubythroat,1,Siberian Rubythroat - subsong,Xeno-canto,https://www.xeno-canto.org/1010606,https://xeno-canto.org/1010606/download,"Sharga Moritoyn Dyan, Chingeltei District, Ulaanbaatar",Ding Li Yong,A
Siberian Rubythroat,2,"Siberian Rubythroat - song, subsong",Xeno-canto,https://www.xeno-canto.org/1010355,https://xeno-canto.org/1010355/download,"Sharga Moritoyn Dyan, Chingeltei District, Ulaanbaatar",Ding Li Yong,A
Siberian Rubythroat,3,Siberian Rubythroat - song,Xeno-canto,https://www.xeno-canto.org/1000804,https://xeno-canto.org/1000804/download,"Si Zui Jiao, Minhang, Shanghai",Bo Shunqi 薄顺奇,A
Bluethroat,1,Bluethroat - song,Xeno-canto,https://www.xeno-canto.org/1009213,https://xeno-canto.org/1009213/download,"Flatruet, Härjedalen, Jämtlands län",Ulf Elman,A
Bluethroat,2,Bluethroat - song,Xeno-canto,https://www.xeno-canto.org/1009212,https://xeno-canto.org/1009212/download,"Flatruet, Härjedalen, Jämtlands län",Ulf Elman,A
Bluethroat,3,Bluethroat - song,Xeno-canto,https://www.xeno-canto.org/1005709,https://xeno-canto.org/1005709/download,"Övre Soppero, Kiruna Municipality, Norrbottens län",Dag Österlund,A
